company,role,url,source,posted_date,scraped_date,salary,location_tag,india_ok,application_status,notes
Databricks,Specialist Solutions Architect - Data Engineering & Warehousing (Digital Native Business),https://databricks.com/company/careers/open-positions/job?gh_jid=8761732002,Greenhouse,2026-09-02,2026-09-07,,United States,3,not_applied,
Databricks,Specialist Solutions Architect - Data Engineering & Warehousing (Financial Services),https://databricks.com/company/careers/open-positions/job?gh_jid=8692962002,Greenhouse,2026-09-02,2026-09-07,,United States,3,not_applied,
Twilio,"Staff, Analytics Engineer, GTM Data Science & Analytics",https://job-boards.greenhouse.io/twilio/jobs/8008538,Greenhouse,2026-09-02,2026-09-07,,Remote - US,3,not_applied,
Brex,Data Engineer,https://www.brex.com/careers/8523806002?gh_jid=8523806002,Greenhouse,2026-07-14,2026-09-07,,"São Paulo, São Paulo, Brazil",3,not_applied,
Cloudflare,Senior Data Engineer,https://boards.greenhouse.io/cloudflare/jobs/8055118?gh_jid=8055118,Greenhouse,2026-09-04,2026-09-07,,In-Office,2,not_applied,
Stripe,"Account Executive, Product Sales (Data Pipeline)",https://stripe.com/jobs/search?gh_jid=8113687,Greenhouse,2026-09-04,2026-09-07,,Singapore,2,not_applied,
Stripe,"Data Analyst, Financial Data Engineering",https://stripe.com/jobs/search?gh_jid=8070572,Greenhouse,2026-09-04,2026-09-07,,New York,2,not_applied,
Databricks,Senior Go-To-Market (GTM) Analytics Engineer (AI & Pipelines),https://databricks.com/company/careers/open-positions/job?gh_jid=8638849002,Greenhouse,2026-09-02,2026-09-07,,"Belgrade, Serbia",2,not_applied,
Lemon.io,Senior Data Engineer,https://remotive.com/remote-jobs/software-development/senior-data-engineer-2091097,Remotive,2026-08-19,2026-09-07,,"LATAM, Europe, USA, Canada, APAC",2,not_applied,
Databricks,"Sr. Product Manager, Data Engineering",https://databricks.com/company/careers/open-positions/job?gh_jid=6322654002,Greenhouse,2026-08-18,2026-09-07,,"San Francisco, California",2,not_applied,
Cribl,Staff Analytics Engineer,https://cribl.io/job-detail/?gh_jid=6120094004,Greenhouse,2026-08-13,2026-09-07,,Remote - United States,2,not_applied,
Cribl,Staff Data Engineer,https://cribl.io/job-detail/?gh_jid=6135124004,Greenhouse,2026-08-13,2026-09-07,,Remote - United States,2,not_applied,
Armis,Senior Staff Data Infrastructure Engineer,https://himalayas.app/companies/armis/jobs/senior-staff-data-infrastructure-engineer,Himalayas,2026-09-07,2026-09-07,"USD 197,000–230,000/annual",United States,1,not_applied,
Gusto,Senior Data Engineer,https://job-boards.greenhouse.io/gusto/jobs/8099751,Greenhouse,2026-09-03,2026-09-07,,"Denver, CO - Hybrid; New York, New York, United States; San Francisco, CA - Hybrid",1,not_applied,
Mercury,Head of Data Engineering & Platform,https://job-boards.greenhouse.io/mercury/jobs/6141014004,Greenhouse,2026-08-21,2026-09-07,,"San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States",1,not_applied,
